ἆ|ah!
εὔζωστος|easily girt, convenient for girding
εὐηγεσία|good government
εὐηγεσίη|good government
εὐαγορέω|speak well of, praise
εὐηγορία|good words, praise
εὐήγορος|speaking well
εὐήδονος|attractive
εὐήδυντος|palatable
εὐήθεια|goodness of heart, good nature, guilelessness, simplicity, honesty
εὐήθης|good-hearted, open-hearted, simpleminded, guileless
εὐηθίζομαι|to play the fool
εὐηθικός|good-natured
εὐηκής|healing
εὐήκης|well-pointed
εὐηκοέω|to be εὐήκοος, listen and obey willingly
εὐηκοΐα|ready obedience
εὐήκοος|hearing well
εὐήκουος|inclined to give ear
εὐηλάκατος|spinning well
εὐήλατος|easy to drive
εὐῆλιξ|of good stature
εὐήλιος|well-sunned, sunny, genial
εὐημερέω|to spend the day cheerfully, live happily from day to day
εὐημέρημα|a success
εὐημερία|fineness of the day, good weather
εὐήμερος|of a fine day
εὐημονία|skill in throwing
εὐηνεμία|fair wind
εὐήνεμος|well as to the winds
εὐήνιος|obedient to the rein, tractable
εὐηνορία|manliness, manly virtue
εὐήνυτος|easy to achieve
εὐήνωρ|man-exalting, glorious
εὐηπελής|prosperous
εὐηπελία|prosperity
εὐήρατος|lovely
εὐήρετμος|well fitted to the oar
εὐήρης|well-fitted
εὐήροτος|easy to cultivate
εὐήρυτος|easy to draw out
εὐήτριος|with good thread, well-woven
εὐήτριος2|[lexical cite]
εὐηφενέω|to be wealthy, prosperous
εὐηφενής|wealthy
εὐήχεια|euphony
εὐηχέομαι|to be euphonious
εὐηχής|well-sounding, tuneful
εὐήχητος|well-sounding, tuneful
εὔηχος|euphonious
εὐθάλαμος|blessing wedlock
εὐθάλασσος|prosperous by sea
εὐθάλεια|bloom, flower
εὐθαλέω|bloom, thrive
εὐθαλής|blooming, flourishing
εὐθαλής2|[Dor.]
εὐθαλπής|warming well, genial
εὐθανασία|easy, happy death
εὐθανατέω|die a noble death
εὐθάνατος|dying easily
εὐθάρσεια|good courage
εὐθαρσέω|to be of good courage
εὐθαρσής|of good courage
εὐθέατος|easy to be seen
εὐθεῖα| (γραμμή) straight line
εὐθέμιτος|just, righteous
εὐθένεια|supply, provisioning
εὐθενέω|thrive, flourish
εὐθενιακός|for food-supply
εὐθεραπευσία|ease of treatment
εὐθεράπευτος|easily won by kindness
εὐθέριστος|easily harvested
εὐθέρμαντος|easy to warm
εὔθερμος|very warm
εὔθερος|pleasant in summer, sunny
εὐθεσία|good condition, habit of body
εὐθέσμως|lawfully
εὐθέτησις|prosperity
εὐθετίζω|to set in order, arrange well
εὐθετισμός|convenience, propriety
εὔθετος|well-arranged
εὐθεώρητος|easily seen
εὐθηγής|sharpening well
εὔθηκτος|well-sharpened, keen
εὐθηλέομαι|to be well-suckled, fatted up
εὐθηλής|well-nurtured, thriving, goodly
εὔθηλος|with distended udder
εὐθημονέομαι|keep in order, manage
εὐθημοσύνη|good management
εὐθήμων|setting in order
εὐθηνέω|to thrive, flourish, prosper
εὐθηνία|prosperity, plenty
εὐθηνιάρχης|commissioner of food
εὐθηνός|thriving, flourishing
εὐθήρατος|easy to catch
εὐθηρία|success in sport
εὔθηρος|lucky in hunting
εὐθήσαυρος|well-stored, precious
εὐθικός|straight
εὐθικτέω|findtherange
εὔθικτος|touching the point, clever
εὐθιξία|cleverness, tact
εὔθλαστος|easily indented
εὐθνήσιμος|in or with easy death
εὔθοινος|with rich banquet: sumptuous
εὐθορύβητος|easily confounded
εὔθραυστος|easily injured
εὔθρεπτος|well-reared
εὔθριγκος|well-coped
ἐύθριξ|well - maned
εὖθριξ|with beautiful hair
ἐύθρονος|well-throned
εὔθρονος|with beautiful throne
εὔθροος|loud-sounding
εὔθρυπτος|easily broken, crumbling
εὐθυβολέω|throw forward
εὐθυβολία|a direct throw
εὐθύβολος|throwing straight
εὐθυβόλος|throwing straight
εὐθυγένειος|with straight beard
εὐθύγλωσσος|straightforward, plain-spoken
εὐθυγνωμίας|witness who gives direct evidence
εὐθύγνωμος|straightforward
εὐθυγραμματίζω|reduce to a rectilinear figure
εὐθυγραμμικός|rectilinear
εὐθύγραμμος|rectilinear figure
εὐθυδικία|an open, direct trial
εὐθύδικος|righteous-judging
εὐθυδρομέω|run a straight course
εὐθυδρόμος|running a straight course
εὐθυέντερος|with straight intestines
εὐθυέπεια|straight speaking
εὐθυεπής|plain-spoken
εὐθυεργής|accurately wrought
εὐθύζωμον|extemporized broth
εὐθυθάνατος|quick-killing, mortal
εὐθύθριξ|with straight hair
εὐθύκαυλος|with a straight stalk
εὐθύληπτος|easy to get at, to procure
εὐθυμάχας|fighting fairly
εὐθυμαχέω|fight fairly
εὐθυμάχης|fighting openly
εὐθυμαχία|a fair fight
εὐθυμετρία|survey
εὐθυμετρικός|linear, 'running
εὐθυμέω|to be of good cheer
εὐθυμητέον|one must be cheerful
εὐθυμητέος|one must be cheerful
εὐθυμία|cheerfulness, tranquillity
εὔθυμος|bountiful, generous
εὔθυνα|a setting straight, correction, chastisement
εὔθυνος|a corrector, chastiser, judge
εὔθυνσις|straightening
εὐθυντέον|one must correct
εὐθυντήρ|a corrector, chastiser
εὐθυντηριαῖος|belonging to the εὐθυντηρία
εὐθυντήριος|directing, ruling
εὐθυντής|a ruler
εὐθυντός|capable of being straightened
εὐθύνω|to guide straight, direct
εὐθυονειρία|vivid dream
εὐθυόνειρος|dreaming vividly
εὐθυπλοέω|sail straight
εὐθύπλοια|straight voyage
εὐθυπλοκία|straight weaving, evenness of texture
εὐθύπλοος|sailing straight
εὐθύπνοος|straight-blowing
εὐθυπομπός|guiding straight
εὐθυπορέω|to go straight forward
εὐθυπορία|straightness of course
εὐθυπορικός|moving in a straight line
εὐθύπορος|going straight
εὐθυρρημονέω|to speak in a straightforward manner
εὐθυρρημοσύνη|plainness of speech
εὐθυρρήμων|plain-spoken
εὐθύρριζος|straight-rooted
εὐθύρριν|straight-nosed
εὔθυρσος|with beautiful shaft
εὐθύς|straight, direct
εὐθύσανος|well-fringed
εὐθυσία|auspicious sacrifice
εὐθυσκόλιος|slightly curved
εὐθυσκοπέω|look straight at
εὐθυσκόπος|seeing straight
εὐθυσμός|straightness
εὐθύστομος|talking plainly
εὐθυτενής|straight
εὐθύτης|straightness
εὐθυτοκία|simple interest
εὐθυτομέω|make a straight incision
εὐθύτομος|cut straight, straight
εὐθυτράχηλος|with a straight neck
εὐθυτρεχής|running in a straight line
εὐθύτρητος|bored straight through
εὐθυφερής|running in a straight line
εὐθύφλοιος|straight-barked
εὐθυφορέομαι|to move in a straight line
εὐθυφορία|motion in a straight line
εὐθύφρων|right-minded
εὐθυφυής|straight-grown
εὐθύχαλκος|payable on demand in cash
εὐθυῶνυξ|with straight nails
εὐθυωρέω|go straight forward
εὐθυωρία|straight course
εὐθύωρος|in a straight direction
εὐθώρηξ|well-mailed
εὐιακός|Bacchic
εὐίατος|easy to heal
εὐίδρως|easily perspiring
εὐιερία|sanctity, sacredness
εὐίερος|very holy
εὐικέτευτος|open to entreaty
εὐίλατος|very merciful
εὔινος|with stout fibres
εὔιος|Bacchic
Εὔιος|Euios, Evius
εὔιππος|well-horsed, delighting in horses
εὔιστος|for good knowledge
εὐίσχιος|with beautiful hips
εὔιχθυς|abounding in fish
εὐκαής|easily burnt
εὐκαθαίρετος|easy to conquer
εὐκάθεκτος|easy to keep under
εὐκαθοσίωτος|consecrated
εὐκαιρέω|to devote one's leisure
εὐκαιρή|favourable opportunity
εὐκαίρημα|seasonable, opportune act
εὐκαιρία|good season, opportunity
εὔκαιρος|well-timed, in season, seasonable
εὐκάκωτος|easily affected
εὐκαλλώπιστος|beautifully adorned
εὐκάματος|of easy labour, easy
εὐκάμπεια|flexibility
εὐκαμπής|well-curved, curved
εὔκαμπτος|flexible
εὐκαμψία|flexibility
εὐκάρδιος|good of heart, stout-hearted
εὐκαρπέω|bear good fruit
εὐκαρπία|fruitfulness
εὔκαρπος|rich in fruit, fruitful
εὐκατάβλητος|easily overthrown
εὐκατάγνωστος|blameworthy
εὐκατάγωγος|easy to wind up
εὐκαταγώνιστος|easily conquered
εὐκατάκαυστος|easily burnt
εὐκατακόμιστος|easy to be transported
εὐκατακράτητος|easy to hold
εὐκάτακτος|easily broken, fragile
εὐκατάληκτος|with a good termination
εὐκατάληπτος|easy to apprehend
εὐκατάλλακτος|easily appeased, placable
εὐκατάλυτος|easy to overthrow
εὐκαταμάθητος|easy to understand
εὐκατάμικτος|affabilis
εὐκατανόητος|easy to observe
εὐκαταπάλαιστος|easy to throw in wrestling
εὐκατάπαυστος|easily pacified
εὐκατάπληκτος|easily scared
εὐκατάποτος|easily swallowed
εὐκατάπρακτος|easily accomplished
εὐκαταπράϋντος|placable
εὐκατάπρηστος|easily kindled
εὐκαταρέλαστος|exposed to ridicule
εὐκαταρίθμητος|easily counted
εὐκατάσειστος|easily shaken
εὐκατάσκεπτος|convenient for inspection
εὐκατασκεύαστος|easily constructed
εὐκατάστατος|well-fixed, firmly established
εὐκατάστροφος|brought to a good conclusion, well-turned
εὐκατάσχετος|easily held fast
εὐκατάτακτος|easy to set in order
εὐκατατρόχαστος|easily overrun
εὐκατάφθορος|corruptibilis
εὐκαταφορία|propensity, proclivity
εὐκατάφορος|prone towards
εὐκαταφρόνητος|easy to be despised, contemptible, despicable
εὐκαταφρόντιστος|well considered
εὐκατάψευστος|safe to tell lies about
εὐκατέργαστος|easy to work
εὐκατηγόρητος|easy to blame, open to accusation
εὐκατοίκητος|convenient for dwelling in
εὐκάτοπτος|easily seen, conspicuous
εὐκατόρθωτος|easily effected
εὔκαυστος|easily burning
εὐκέαστος|easily cleft
εὐκέατος|easy to cleave
εὐκέλαδος|well-sounding, melodious
εὔκεντρος|pointed
εὐκένωτος|easily evacuated
εὐκεράϊστος|easily disabled
εὐκέραος|with beautiful horns
εὐκερασία|well-tempered constitution
εὐκέραστος|well-mixed, well-tempered
ἐϋκερδής|gainful
εὐκερματέω|to be rich in money
εὐκέφαλος|with a good head
εὐκηλήτειρα|she that lulls
εὐκηλία|quiet
εὔκηλος|free from care, at one's ease
εὔκηλος2|easily burning
εὐκήπευτος|easy to cultivate
εὐκινησία|ease of motion, mobility
εὐκίνητος|easily moved
εὔκισσος|ivied
εὐκίων|with beautiful pillars
εὔκλαδος|with fine boughs
εὔκλαστος|easily broken
εὐκλεής|of good report, famous, glorious
εὔκλεια|good repute, glory
εὐκλεΐζω|make famous, bring honor to, praise
ἐυκλείη|good reputation, fame
εὔκλεινος|much-famed
εὔκλειστος|well-shut
ἐϋκλήϊς|well-closed, close-shut
εὐκληματέω|grow luxuriantly
εὐκληρέω|to have a good lot
εὐκλήρημα|a piece of good fortune
εὐκληρία|good luck in drawing lots
εὔκληρος|fortunate, happy
εὔκλωνος|with fine twigs
ἐΰκλωστος|well-spun
ἐϋκνήμις|well-greaved
εὔκνημος|with beautiful legs
εὔκνιστος|ticklish, irritable
εὐκοίλιος|easing the bowels
εὐκοινόμητις|deliberating for the public weal
εὐκοινωνησία|good fellowship
εὐκοινώνητος|easy to deal with
εὐκολία|contentedness, good temper
εὐκόλλητος|well soldered
εὔκολλος|gluing well, sticky
εὔκολος|easily satisfied, contented with one's food
εὔκολπος|with fair bosom
εὐκόλυμβος|diving well
εὐκομιδής|well cared for
εὐκόμιστος|easily extracted
εὔκομος|fair-haired
εὔκομπος|loud-sounding
εὔκονος|bread made with bran
εὐκοπέω|enjoy an easy life
εὐκοπία|ease, facility
εὔκοπος|with easy labour, easy
εὐκόρυθος|with beautiful helmet
εὐκόρυφος|with handsome head
εὐκοσμέω|behave orderly
εὐκόσμητος|well-adorned
εὐκοσμία|orderly behaviour, good conduct, decency
εὐκοσμίως|decently
εὔκοσμος|behaving well, orderly, decorous
εὐκόσμως|well arranged
εὔκουρος|well-shorn
εὐκράδαντος|well-poised
εὐκραδής|a fine fig-tree
εὐκραής|gentle
εὔκραιρος|with fine horns
εὐκράς|temperate; mixing readily
εὐκράς2|[lexical cite]
εὐκρασία|a good temperature, mildness
εὐκρατόμελι|honey-wine
εὐκρατοποσία|drinking of εὔκρατον
εὔκρατος|well-mixed, temperate
εὐκρατόω|temper
εὐκρατῶς|firmly, fast
εὔκρεκτος|well-struck, well-woven
ἐϋκρήδεμνος|with beauteous fillet
ἐΰκρημνος|with fair cliffs
εὔκρηνος|well-watered
ἐϋκρήπις|well-based
εὔκριθος|rich in barley
εὐκρίνεια|clear-sightedness
εὐκρινέω|to keep distinct, keep in order
εὐκρινής|well-separated
εὐκρίνητος|highly sensitive
εὔκριτος|easy to decide
ἐϋκρόκαλος|pebbly
εὐκρόταλος|accompanied by castanets
εὐκρότητος|well-hammered, well-wrought
εὔκροτος|well-sounding
εὔκρυπτος|easy to hide
εὐκταῖος|of or for prayer, votive, prayed for
εὐκτέανος|wealthy
εὐκτέανος2|straight-grained, slender, tall
εὐκτέον|one must pray for
εὐκτήδων|straight-grained
εὐκτημοσύνη|wealth
ἐϋκτήμων|wealthy
εὔκτητος|easily gotten
εὐκτικός|expressing a wish, votive
ἐϋκτίμενος|good to dwell in
εὐκτός|wished for
ἐϋκτυπέων|clattering
εὐκυβέω|to be lucky with the dice
εὔκυκλος|well-rounded, round
εὐκύκλωτος|well-rounded
εὐκύλικος|suited to the wine-cup
εὐκύλιστος|easily rolled
εὐκύμαντος|easily made to undulate
εὔκωπος|well-equipt with oars
εὐλάβεια|discretion, caution, circumspection
εὐλαβέομαι|to be discreet, cautious, beware
εὐλαβής|taking hold well, holding fast
εὐλαβητέον|one must beware of
εὐλαβητέος|one must beware
εὐλαβητικός|careful to avoid
εὐλάζω|to plough
εὐλάκα|a ploughshare
εὔλαλος|sweetly-speaking
εὐλαμπής|bright-shining
εὐλάχανος|fruitful in herbs
εὐλείαντος|easily triturated
εὐλείμων|with goodly meadows
εὐλείωτος|easily powdered
εὔλεκτρος|bringing wedded happiness, blessing marriage
εὔλεξις|with good choice of words
εὐλέπιστος|easily peeled
εὐλή|a worm
εὔληκτος|soon ceasing
εὐληματέω|to be of good spirit
εὐληνής|fleecy
εὔληπτος|easily taken hold of
εὔληρα|reins
εὐλίβανος|rich in frankincense
εὔλιθος|of goodly stone
εὐλίμενος|with good harbours
εὐλιμενότης|good harbourage
εὔλιμνος|abounding in lakes
εὔλινος|spinning well
εὐλιπής|very fat
εὐλιτάνευτος|easily entreated
εὐλογέω|to speak well of, praise, honour
εὐλογητός|blessed
εὐλογία|good
εὐλόγιμος|benedictus
εὐλογιστέω|act rationally, prudently
εὐλογιστία|circumspection, prudence
εὐλόγιστος|rightly reckoning, thoughtful
εὐλογοποιέω|excuse
εὔλογος|having good reason, reasonable, sensible
εὐλογοφανής|seeming probable
εὐλογχέω|to be lucky
εὔλογχος|propitious
εὐλοέτειρα|with fine baths
εὐλοιδόρητος|open to reproach
εὐλοκοπέομαι|to be eaten of worms
εὔλοφος|well-plumed
εὐλοχία|glorious progeny
εὔλοχος|helping in childbirth
εὐλύγιστος|flexible
εὔλυρος|playing well on the lyre, skilled in the lyre
εὐλυσία|suppleness, ease of movement
εὐλυτέω|discharge
εὐλύτησις|discharge of a debt
εὔλυτος|easy to untie
εὐμάθεια|readiness in learning, docility
εὐμαθής|ready
εὐμάλακτος|easily moulded
εὔμαλλος|of fine wool
εὐμάραθος|abounding in fennel
εὐμάραντος|soon withering
εὐμάρεια|easiness, ease, opportunity
εὐμαρέω|have abundance
εὐμαρής|easy, convenient, without trouble
εὐμαρίην|easiness, ease, opportunity
εὔμαρις|an Asiatic shoe
εὐμαχανία|(poetic) capability, resource
εὐμαχος|easy to fight against, assailable
εὐμεγέθης|of good size, very large
εὐμεθόδευτος|having a good method
εὐμέθοδος|easily compassed
εὐμέθυστος|easily made drunk
εὐμειδής|smiling, propitious
εὐμείλικτος|easily appeased
εὐμέλαθρος|with fair halls
εὐμέλανος|well-blackened, inky
εὐμέλεια|melody
εὐμελής|musical, rhythmical
εὐμελιτέω|to have a good stock of honey
εὐμένεια|favor of the gods
Εὐμένεια|festival for Eumenes
Εὐμένειος|of Eumenes (soldiers)
Εὐμένειος2|month name
εὐμενέτης|well-wisher
εὐμενέω|to be gracious
Εὐμένης|Eumenes
εὐμενής|well-disposed, kindly
εὐμενία|good will of the gods
Εὐμενίδες|the gracious goddesses
εὐμενίζομαι|to propitiate
εὐμενικός|like the εὐμενής
Εὐμενισταί|guild of worshippers of Eumenes
εὐμέριστος|easily divided
εὐμεταβλησία|changeableness
εὐμετάβλητος|easily changed
εὐμετάβολος|changeable
εὐμετάγνωτος|fickle
εὐμετάγωγος|easy to put aside, get rid of
εὐμετάδοτος|readily imparting, generous
εὐμετάθετος|easily changing
εὐμετακίνητος|easily moved
εὐμετακόμιστος|ready to migrate
εὐμετακύλιστος|easy to roll over
εὐμετανόητος|inconstant, fickle
εὐμετάπειστος|easy to persuade
εὐμεταποίητος|easily altered
εὐμετάπτωτος|unstable
εὐμετάρρευστος|easily diverted from its course
εὐμετάστατος|unsteady, changeable
εὐμετάτρεπτος|revocable
εὐμετάφορος|easily moved: moving quickly
εὐμεταχείριστος|easy to handle
εὐμετρία|good measure
εὔμετρος|well-measured, well-calculated
εὐμήκης|of a good length, tall
εὔμηλος|rich in sheep
εὔμηρος|with beauliful thighs
εὐμήρυτος|easy to spin out
εὔμητις|of good counsel, prudent
εὐμηχάνημα|ingenious contrivance
εὐμηχανία|inventive skill
εὐμήχανος|skilful in contriving, ingenious, inventive
εὔμικτος|social
εὐμίμητος|easily imitated
εὐμιξία|happy union
εὐμίσητος|exposed to hatred
εὔμιτος|with fine threads
εὔμιτρος|with beautiful belt, well-girded
ἐϋμμελίης|armed with good ashen spear
εὐμνημόνευτος|easy to remember
εὐμνήμων|easy to remember
εὔμνηστος|well-remembering, mindful of
εὐμογία|industry
εὐμοιρέω|to be well off for
εὐμοιρία|happy possession
εὔμοιρος|blest with possessions
εὐμολπέω|to sing well
εὐμολπία|sweet song
εὔμολπος|sweetly singing
εὐμορφία|beauty of form, symmetry
εὔμορφος|fair of form, comely, goodly
εὐμορφότης|comeliness
εὐμορφόω|become beautiful
εὐμουσία|sense for beauty and art
εὔμουσος|skilled in the arts
εὔμοχθος|laborious
εὔμυθος|eloquent
εὔμυκος|loud-bellowing
εὐνά|marriage
εὐνάζω|to lay
εὐναής|fair-flowing
εὐναιετάων|well-situated
εὐναῖος|in one's bed
εὐνάσιμος|good for sleeping in
εὐναστήρ|serving as an anchor
εὐνατήριον|a sleeping-place, bed-chamber
εὐνάω|to lay
εὐνάων|fair-flowing, liquid
εὐνεικής|easy to decide
εὔνεως|well furnished with ships
εὐνή|a bed
εὐνῆθεν|from
εὔνημα|marriage
εὔνησος|with beautiful islands
εὐνητήρ|a bedfellow, husband
εὔνια|beds
εὐνίκητος|easily overcome
εὖνις|reft of, bereaved of
εὖνις2|a bedfellow, wife
ἐΰννητος|well spun
εὐνοέω|to be well-inclined
εὐνοητικός|kindly disposed
εὐνόητος|easily understood
εὐνόθευτος|easily adulterated
εὔνοια|good-will, favour, kindness
εὐνοϊκός|well disposed, kindly, favourable
εὐνομέομαι|to have good laws, to be orderly
εὐνόμημα|law-abiding, virtuous action
εὐνομία|good order, order
εὐνομίη|good order, obedience to laws
εὔνομος|under good laws, well-ordered
εὔνοος|well-disposed, kindly, friendly
Εὔνοστος|Good Yield, tutelary genius of corn-mills
εὐνουχεῖον|lettuce
εὐνουχίας|like a eunuch, impotent
εὐνουχίζω|castrate
εὐνουχισμός|castration
εὐνουχιστέον|one must defertilize
εὐνουχιστής|castrator
εὐνουχοειδής|like a eunuch
εὐνοῦχος|a eunuch
εὔνυμφος|of a fair bride
εὐνώμας|moving well
εὔνωτος|stout-backed
εὔξαντος|well-carded
εὐξενίδας|descended from Euxenos
εὔξενος|kind to strangers, hospitable
εὔξεστος|well-planed, well-polished
εὐξήραντος|easily drying
εὐξόανος|skilled in sculpture
εὔξοος|with polished haft
εὐξυλεία|abundance of timber
εὐξυλοεργός|skilled in carpentry
εὔξυλος|furnishing handsome timber
εὔξυστος|easily scraped
εὐογκία|being moderate in bulk
εὔογκος|of good size, bulky, massive
εὐοδέω|to have a free course
εὐοδία|a good journey, wishes for a good journey
εὐοδιάζω|pass, insert in the right way
εὐόδιος|boni itineris
εὔοδος|easy to pass
εὐοδόω|to help on the way
εὐόδωσις|successful progress
εὐοίκητος|favourably placed
εὐοικονόμητος|well arranged
εὔοικος|with good houses
εὔοικτος|compassionate
εὐοινέω|abound in good wine
εὐοινία|abundance of good wine
εὐοίνιστος|of good wine
εὔοινος|producing good wine
εὐοιώνιστος|of good omen
εὔολβος|wealthy, prosperous
εὐολίσθητος|easily slipping, unsteady
εὐόλισθος|slippery
εὐόλκιμος|easily drawn, ductile, sticky
εὐόμαλος|level
εὐομβρία|abundance of rain
εὔομβρος|abounding in rain: well-watered
εὐομίλητος|affable
εὐομιλία|charm of conversation, wit
εὐόμιλος|sociable
εὐόμματος|keen-sighted
εὐομολόγητος|easy to concede, indisputable
εὐόνειρος|having auspicious dreams
εὐόνυξ|with strong claws
εὐοπλέω|to be well-equipt
εὐοπλία|a good state of arms and equipments
εὔοπλος|well-armed, well-equipt
εὔοπτος|open to view
εὐοργησία|gentleness of temper
εὐόργητος|good-tempered
εὐόρεκτος|appetizing
εὐόριστος|easily bounded
εὐορκέω|to be faithful to one's oath
εὐορκησία|fidelity to one's oath
εὐορκία|fidelity to one's oath
εὔορκος|keeping one's oath, faithful to one's oath
εὐόρκωμα|a faithful oath
εὔορμος|with good mooring-places
εὐορνιθία|good augury
εὔορνις|abounding in birds
εὐόροφος|well-roofed
εὐόρπηξ|with fine branches
εὐοσμέω|smell well, be fragrant
εὐοσμία|fragrance, perfume
εὔοσμος|sweet-smelling, fragrant
εὐόσφρητος|keen-scented
εὐόφθαλμος|with beautiful eyes
εὔοφρυς|with fine eyebrows
εὐοχέω|guide well
εὐοχθέω|to be in good case
εὔοχθος|with goodly banks, fertile
εὔοχος|holding firmly
εὐοψέω|abound in fish
εὐοψία|abundance of fish
εὐοψία2|good looks
εὔοψος|abounding in fish
εὐπαγής|compact, firm, strong
εὐπάθεια|the enjoyment of good things, comfort, ease
εὐπαθέω|to be well off, enjoy oneself, make merry
εὐπαθής|enjoying good things, easy
εὐπαθητικός|easily contracted
εὐπαιδευσία|goodness of education
εὐπαίδευτος|well-educated, well-trained
εὐπαιδία|a goodly race of children
εὔπαις|blest in one's children
εὐπάλαιστος|easy to overcome in wrestling
εὐπάλαιστρος|skilful in contest
εὐπάλαμος|handy, skilful, ingenious, inventive
εὐπαλής|easy to wrestle with
εὐπαράγωγος|easy to lead astray
εὐπαράδεκτος|easily received, acceptable
εὐπαραίτητος|placable
εὐπαράκλητος|easily influenced
εὐπαρακολούθητος|easy to follow
εὐπαρακόμιστος|easy to convey
εὐπαράκρουστος|easy to set aside, refute
εὐπαράληπτος|readily applicable
εὐπαράλλακτος|subject to change, unstable
εὐπαραλόγιστος|easily cheated
εὐπαραμύθητος|easily appeased
εὐπάρᾳος|fair cheeked
εὐπάραος|with beauteous cheeks
εὐπαράπειστος|easily led away
εὐπαράπλους|easy to coast along
εὐπαρατήρητος|noticeable
εὐπαράτρεπτος|easy to turn from his opinion
εὐπαρατύπωτος|easily misled by false impressions
εὐπαράφορος|easily distracted
εὐπαραχώρητος|readily admissible
εὐπάρεδρος|constantly attending
εὐπάρειος|with fair cheeks
εὐπαρείσδυτος|easily accessible
εὐπαρέκδυτος|slipping out of place easily
εὐπαρηγόρητος|easily alleviated
εὐπαρόδευτος|easy to pass by, ignore
εὐπάροδος|easy of access
εὐπαρόξυντος|rendered irritable
εὐπαρόρμητος|easily excited
εὐπάροχος|submissive
εὐπαρρησίαστος|speaking with bold freedom
εὐπάρυφος|with fine purple border
εὐπατέρεια|daughter of a noble sire
εὐπατόριον|Agrimonia Eupatorium
εὐπατρίδης|of good or noble sire, of noble family
εὔπατρις|born of a noble sire
εὐπάτωρ|born of a noble sire
εὐπέδιλος|well-sandalled
εὐπέδιος|with level
εὔπεζος|with beautiful feet
εὐπείθεια|ready obedience
εὐπειθέω|to be disposed to obey
εὐπειθής|ready to obey, obedient
εὔπειστος|easily persuaded
εὐπελαγής|lying fairly by the sea
εὐπελέκητος|easy to work with the axe
εὐπελής|easy
εὐπέμπελος|tranquil, placable
εὔπεμπτος|missilis
εὐπένθερος|with a good father-in-law
εὐπέπαντος|well-ripened: mellow
εὔπεπλος|beautifully robed
εὐπεπτέω|have a good digestion
εὔπεπτος|easy of digestion
εὐπέραντος|well-finished, distinctly outlined
εὐπέρατος|easy to pass
εὐπεριάγωγος|easily turned round
εὐπεριαίρετος|easily stripped off
εὐπερίβλεπτος|conspicuus, perspicuus
εὐπερίβλητος|well-dressed
εὐπερίγραφος|easy to sketch out, with a good outline
εὐπερίθραυστος|easy to break
εὐπερικάλυπτος|easy to conceal
εὐπερίκοπτος|suffering importunity readily
εὐπερίκτητος|easily acquiring possessions
εὐπερίληπτος|easily embraced
εὐπερινόητος|well-considered
εὐπερίοπτος|easily slighted, despicable
εὐπεριόριστος|welldefined
εὐπερίπατος|allowing one to walk easily
εὐπερίσπαστος|easy to pull away
εὐπερίσταλτος|lightly clad
εὐπερίστατος|easily besetting
εὐπερίστολος|circumspect, wary
εὐπερίστρεπτος|easily turned
εὐπερίστροφος|wriggling
εὐπερίτρεπτος|easy to turn over
εὐπεριφρόνητος|contemptible
εὐπερίφωρος|easily detected
εὐπερίχυτος|easily diffused
εὐπερίψογος|open to blame
εὐπερίψυκτος|easily cooled
εὐπέταλος|with beautiful leaves
εὐπέτεια|ease
εὐπετής|falling well; favourable
εὐπέτης|flying well
εὔπετρος|of good hard stone
εὐπεψία|digestibility
εὐπηγής|well-built, stout
εὔπηκτος|well-built
εὐπήληξ|with beautiful helmet
εὔπηνος|of fine texture
εὐπηξία|compactness
εὔπηχυς|with beautiful arms
εὐπῖδαξ|abounding in fountains
εὐπίλητος|well-compressed, dense
εὐπίνεια|elegance
εὐπινής|neat, tidy
εὐπιστία|pious belief
εὔπιστος|trustworthy, trusty
εὐπίων|very fat: very rich
εὐπλαδής|pliant, ductile
εὐπλανής|successfully tracking
εὐπλαστία|credibility in fiction
εὔπλαστος|easy to mould
εὐπλατής|of a good breadth
ἐΰπλειος|well filled
εὔπλεκτος|well-plaited, well-twisted
εὔπλευρος|with strong lungs
εὐπληθής|luxuriant
εὔπληκτος|easily struck
εὐπλήρωτος|easily filled: full
εὐπλοέω|have a good voyage
εὔπλοια|a fair voyage
εὐπλοίη|prosperous voyage
ἐϋπλόκαμος|with goodly locks, fair-haired
εὔπλοος|good for sailing, fair
ἐϋπλυνής|well-washed, well-cleansed
εὔπλωτος|favourable to sailing
εὐπνοέω|respire freely
εὔπνοια|easiness of breathing
εὔπνοος|breathing well
εὐποδία|goodness of foot
εὐποίημα|benefaction
εὐποιητικός|beneficent
εὐποίητος|well-made, well-wrought
εὐποιΐα|beneficence
εὐποίκιλος|much varied, variegated
εὔποκος|rich in wool, fleecy
εὐπολέμητος|easy to be conquered
εὐπόλεμος|good at war, successful in war
Εὐπολίδειος|in the style of Eupolis
εὔπολις|abounding in cities
εὔπομπος|conducting to a happy issue
εὔπονος|toilsome
εὐπόρευτος|easy to travel
εὐπορέω|to prosper, thrive, be well off
εὐπόρημα|advantage, help
εὐπόρησις|facilities
εὐπορητέον|one must have plenty
εὐπορία|an easy way
εὐπορίζω|supply, provide means for
εὐποριστία|ease of procuring
εὐπόριστος|easy to procure
εὔπορος|easy to pass
εὐπόρφυρος|of bright purple colour
εὐποσία|abundance
εὐπότιστος|riguus
εὐποτμέω|to be lucky, fortunate
εὐποτμία|good fortune
εὔποτμος|happy, prosperous
εὔποτος|easy to drink, pleasant to the taste
εὔπους|with good feet
